DP16SETP.DID 15 23
REACTOR; Time; Var 1; Var 2; Var 3; Var 4; Var 5; Var 6; Var 7; Var 8; Var 9; Var 10; Var 11; Var 12; Var 13; Var 14; Var 15; Var 16; Var 17; Var 18; Var 19; Var 20; Var 21; Var 22; Var 23; 
1; 0; 563.506; 60.421; 795.760; 790.125; 283.712; 254.682; 37.455; 152.454; 9.484; 48.078; 36.372; 0.300; 39.419; 0.929; 0.010; 75.053; 67.434; 4.612; 0.000; 0.000; 0.000; 1985.212; 41.311;
1; 0.25; 567.325; 60.791; 800.502; 794.815; 285.205; 254.796; 35.709; 152.462; 9.407; 48.823; 35.060; 0.275; 38.484; 0.890; 0.010; 74.714; 67.247; 4.597; 0.000; 0.000; 0.000; 1994.328; 40.157;
1; 0.5; 570.745; 61.121; 804.701; 798.966; 286.525; 254.446; 34.555; 152.122; 9.337; 49.658; 34.042; 0.267; 37.623; 0.860; 0.010; 74.307; 67.083; 4.582; 0.000; 0.000; 0.000; 2002.149; 39.266;
1; 0.75; 573.820; 61.414; 808.429; 802.649; 287.696; 253.855; 33.756; 151.674; 9.273; 50.472; 33.250; 0.261; 36.829; 0.836; 0.010; 73.865; 66.937; 4.568; 0.000; 0.000; 0.000; 2008.982; 38.448;
1; 1.0; 576.593; 61.676; 811.745; 805.922; 288.736; 253.151; 33.174; 151.162; 9.215; 51.254; 32.629; 0.256; 36.096; 0.818; 0.010; 73.406; 66.809; 4.554; 0.000; 0.000; 0.000; 2014.971; 37.696;
1; 1.25; 579.098; 61.910; 814.699; 808.833; 289.660; 252.402; 32.728; 150.618; 9.161; 51.997; 32.140; 0.252; 35.418; 0.803; 0.010; 72.946; 66.696; 4.541; 0.000; 0.000; 0.000; 2020.234; 37.003;
1; 1.5; 581.365; 62.119; 817.333; 811.426; 290.483; 251.649; 32.370; 150.062; 9.111; 52.695; 31.751; 0.249; 34.790; 0.792; 0.010; 72.493; 66.597; 4.528; 0.000; 0.000; 0.000; 2024.869; 36.364;
1; 1.75; 583.419; 62.306; 819.683; 813.736; 291.216; 250.912; 32.073; 149.512; 9.066; 53.347; 31.441; 0.247; 34.209; 0.782; 0.010; 72.054; 66.509; 4.516; 0.000; 0.000; 0.000; 2028.957; 35.774;
1; 2.0; 585.284; 62.474; 821.785; 815.797; 291.870; 250.197; 31.822; 148.977; 9.023; 53.953; 31.189; 0.245; 33.670; 0.775; 0.010; 71.635; 66.432; 4.505; 0.000; 0.000; 0.000; 2032.571; 35.228;
1; 2.25; 595.441; 63.530; 835.579; 829.469; 296.319; 252.026; 27.578; 149.750; 9.030; 55.730; 28.192; 0.192; 32.866; 0.743; 0.010; 71.473; 66.263; 4.472; 0.000; 0.000; 0.000; 2060.603; 34.339;
